ticket_id,created_at,channel,category,subcategory,priority,customer_message,assigned_team,agent_id,first_response_min,resolution_min,resolution_status,csat_score,contacts_per_ticket,cost_usd,market
TKT-102026,2026-02-09 00:02:37,chat,merchant_issue,merchant_closed,urgent,I booked an appointment but merchant says they're not participating anymore.,ai_chatbot,,0.4,11.5,escalated,1,6,0.1,IT
TKT-102380,2026-02-09 00:02:49,chat,account,account_locked,high,Need to change the email address on my account.,ai_chatbot,,0.4,8.9,resolved,3,4,0.13,ES
TKT-109955,2026-02-09 00:03:47,email,account,password_reset,medium,Need to change the email address on my account.,ai_chatbot,,0.5,5.0,escalated,,5,0.13,US
TKT-104179,2026-02-09 00:04:14,social,voucher_problem,voucher_not_working,medium,The fine print says something different than the deal page.,in_house,IH-020,254.2,343.4,escalated,3,7,10.17,UK
TKT-101718,2026-02-09 00:10:39,phone,order_status,,medium,Status says 'shipped' but carrier has no record of it.,bpo_vendorB,VB-001,7.9,51.2,escalated,,6,3.78,US
TKT-107102,2026-02-09 00:25:31,chat,order_status,,high,Order is stuck in transit for over 10 days.,ai_chatbot,,0.5,3.6,resolved,5,2,0.12,US
TKT-100154,2026-02-09 00:29:01,chat,order_status,order_not_received,high,Status says 'shipped' but carrier has no record of it.,ai_chatbot,,0.3,4.6,escalated,,5,0.15,DE
TKT-107481,2026-02-09 00:29:45,phone,merchant_issue,redemption_problem,high,Merchant provided a completely different service than described. ...,bpo_vendorB,VB-009,10.9,26.6,resolved,,6,2.88,US
TKT-105357,2026-02-09 00:30:11,email,order_status,wrong_item,medium,Package shows delivered to wrong address.,bpo_vendorA,VA-012,118.1,119.1,resolved,4,4,4.26,IT
TKT-105416,2026-02-09 00:38:13,email,order_status,tracking_issue,low,My order status has been 'processing' for a week now.,ai_chatbot,,1.1,3.2,escalated,4,6,0.17,US
TKT-100329,2026-02-09 00:40:34,social,merchant_issue,merchant_no_show,high,Merchant says they never agreed to this deal on Groupon.,bpo_vendorB,VB-019,27.8,547.2,escalated,3,8,6.83,US
TKT-106258,2026-02-09 00:41:25,chat,voucher_problem,voucher_transfer,low,I received the wrong voucher for my purchase.,ai_chatbot,,0.4,,pending,,3,0.13,UK
TKT-103066,2026-02-09 00:46:54,social,merchant_issue,,low,Merchant location was permanently closed when I arrived.,in_house,IH-020,46.2,,abandoned,,4,3.33,IT
TKT-103224,2026-02-09 00:48:16,chat,voucher_problem,voucher_transfer,high,The voucher code isn't working when I try to redeem it.,ai_chatbot,,0.4,7.2,resolved,3,4,0.1,DE
TKT-100774,2026-02-09 00:51:57,email,account,,medium,I want to delete my account and all my data.,bpo_vendorB,VB-008,104.8,105.8,escalated,3,7,2.54,AU
TKT-106732,2026-02-09 00:55:08,social,billing,promo_code_issue,medium,Can you update my payment method?,ai_chatbot,,2.6,6.8,escalated,2,7,0.1,US
TKT-108908,2026-02-09 00:57:47,chat,account,password_reset,high,i want to delete my account and all my data.,bpo_vendorB,VB-020,4.9,,abandoned,1,6,2.11,US
TKT-100487,2026-02-09 00:58:34,email,billing,payment_failed,high,I keep getting charged monthly but I cancelled my subscription.,bpo_vendorB,VB-038,45.8,55.3,resolved,4,5,2.02,US
TKT-106176,2026-02-09 00:59:49,chat,account,password_reset,medium,My account shows purchases I didn't make.,ai_chatbot,,0.8,1.8,resolved,,2,0.15,IT
TKT-106553,2026-02-09 01:02:52,social,merchant_issue,merchant_no_show,urgent,The merchant is asking for additional payment beyond the Groupon price.,bpo_vendorA,VA-022,22.0,40.8,resolved,4,5,2.87,UK
TKT-104769,2026-02-09 01:05:10,social,refund,refund_policy_question,high,"Double charged on my last purchase, need one refund.",in_house,IH-012,27.6,28.6,resolved,,5,5.63,US
TKT-101476,2026-02-09 01:06:20,email,refund,,low,I've been waiting 2 weeks for my refund and still nothing.,bpo_vendorB,VB-031,95.6,,abandoned,,2,2.06,ES
TKT-108727,2026-02-09 01:06:44,chat,order_status,,medium,Order is stuck in transit for over 10 days.,in_house,IH-008,14.3,27.2,escalated,5,3,3.79,US
TKT-103670,2026-02-09 01:18:14,email,merchant_issue,merchant_closed,high,The merchant's phone number on the deal is disconnected.,bpo_vendorB,VB-028,64.6,,pending,,7,2.03,UK
TKT-100448,2026-02-09 01:18:34,phone,voucher_problem,voucher_transfer,medium,"My voucher expired before I could use it, can you extend it?",bpo_vendorA,VA-015,12.8,30.8,escalated,4,5,5.75,IT
TKT-102497,2026-02-09 01:19:33,email,voucher_problem,wrong_voucher,urgent,I have a voucher for a deal that's no longer available.,ai_chatbot,,4.1,34.3,resolved,,1,0.15,FR
TKT-100992,2026-02-09 01:21:48,phone,refund,refund_policy_question,low,"The experience was terrible, nothing like advertised. Refund please!",in_house,IH-026,13.8,26.0,resolved,5,1,8.08,US
TKT-104456,2026-02-09 01:27:19,chat,order_status,wrong_item,high,My order status has been 'processing' for a week now.,in_house,IH-020,1.9,8.5,resolved,,2,3.4,US
